m,p,ld
3.403361344537814831e-02,2.050420168067227100e-01,5.000402331352233887e-01
3.478991596638655176e-02,2.050420168067227100e-01,5.052323937416076660e-01
3.554621848739495521e-02,2.050420168067227100e-01,5.102574229240417480e-01
3.630252100840335866e-02,2.050420168067227100e-01,5.149862170219421387e-01
3.705882352941176211e-02,2.050420168067227100e-01,5.196458697319030762e-01
3.781512605042016556e-02,2.050420168067227100e-01,5.240933299064636230e-01
3.857142857142856901e-02,2.050420168067227100e-01,5.283117890357971191e-01
3.932773109243697246e-02,2.050420168067227100e-01,5.324319601058959961e-01
4.008403361344537591e-02,2.050420168067227100e-01,5.367828011512756348e-01
4.084033613445377936e-02,2.050420168067227100e-01,5.410515666007995605e-01
4.159663865546218281e-02,2.050420168067227100e-01,5.450593829154968262e-01
4.235294117647058626e-02,2.050420168067227100e-01,5.484519600868225098e-01
4.310924369747898971e-02,2.050420168067227100e-01,5.519212484359741211e-01
4.386554621848739316e-02,2.050420168067227100e-01,5.552997589111328125e-01
4.462184873949579661e-02,2.050420168067227100e-01,5.585428476333618164e-01
4.537815126050420006e-02,2.050420168067227100e-01,5.620212554931640625e-01
4.613445378151260351e-02,2.050420168067227100e-01,5.652620196342468262e-01
4.689075630252100696e-02,2.050420168067227100e-01,5.685251951217651367e-01
4.764705882352941041e-02,2.050420168067227100e-01,5.720157623291015625e-01
4.840336134453781386e-02,2.050420168067227100e-01,5.753989815711975098e-01
4.915966386554621731e-02,2.050420168067227100e-01,5.790080428123474121e-01
4.991596638655462076e-02,2.050420168067227100e-01,5.825899243354797363e-01
5.067226890756302421e-02,2.050420168067227100e-01,5.858584046363830566e-01
5.142857142857142766e-02,2.050420168067227100e-01,5.888293981552124023e-01
5.218487394957983111e-02,2.050420168067227100e-01,5.914443135261535645e-01
5.294117647058823456e-02,2.050420168067227100e-01,5.970184803009033203e-01
5.369747899159663801e-02,2.050420168067227100e-01,5.994945168495178223e-01
5.445378151260504146e-02,2.050420168067227100e-01,6.021014451980590820e-01
5.521008403361344491e-02,2.050420168067227100e-01,6.046572923660278320e-01
5.596638655462184836e-02,2.050420168067227100e-01,6.072127819061279297e-01
5.672268907563025181e-02,2.050420168067227100e-01,6.095132827758789062e-01
5.747899159663865526e-02,2.050420168067227100e-01,6.118728518486022949e-01
5.823529411764705871e-02,2.050420168067227100e-01,6.139125823974609375e-01
5.899159663865546216e-02,2.050420168067227100e-01,6.158779859542846680e-01
5.974789915966386561e-02,2.050420168067227100e-01,6.180202960968017578e-01
6.050420168067226906e-02,2.050420168067227100e-01,6.202021837234497070e-01
6.126050420168067251e-02,2.050420168067227100e-01,6.220714449882507324e-01
6.201680672268907596e-02,2.050420168067227100e-01,6.234837770462036133e-01
6.277310924369747247e-02,2.050420168067227100e-01,6.246803998947143555e-01
6.352941176470587592e-02,2.050420168067227100e-01,6.255971789360046387e-01
6.428571428571427937e-02,2.050420168067227100e-01,6.261983513832092285e-01
6.504201680672268282e-02,2.050420168067227100e-01,6.269548535346984863e-01
6.579831932773108627e-02,2.050420168067227100e-01,6.274554133415222168e-01
6.655462184873948972e-02,2.050420168067227100e-01,6.277686953544616699e-01
6.731092436974789317e-02,2.050420168067227100e-01,6.280307173728942871e-01
6.806722689075629662e-02,2.050420168067227100e-01,6.281501650810241699e-01
6.882352941176470007e-02,2.050420168067227100e-01,6.284210681915283203e-01
6.957983193277310352e-02,2.050420168067227100e-01,6.285780072212219238e-01
7.033613445378150697e-02,2.050420168067227100e-01,6.285554766654968262e-01
7.109243697478991042e-02,2.050420168067227100e-01,6.284914612770080566e-01
7.184873949579831387e-02,2.050420168067227100e-01,6.278211474418640137e-01
7.260504201680671732e-02,2.050420168067227100e-01,6.269383430480957031e-01
7.336134453781512077e-02,2.050420168067227100e-01,6.263328790664672852e-01
7.411764705882352422e-02,2.050420168067227100e-01,6.257309913635253906e-01
7.487394957983192767e-02,2.050420168067227100e-01,6.251828670501708984e-01
7.563025210084033112e-02,2.050420168067227100e-01,6.245071291923522949e-01
7.638655462184873457e-02,2.050420168067227100e-01,6.240480542182922363e-01
7.714285714285713802e-02,2.050420168067227100e-01,6.236600875854492188e-01
7.789915966386554147e-02,2.050420168067227100e-01,6.233321428298950195e-01
7.865546218487394492e-02,2.050420168067227100e-01,6.230843067169189453e-01
7.941176470588234837e-02,2.050420168067227100e-01,6.229481101036071777e-01
8.016806722689075182e-02,2.050420168067227100e-01,6.228510737419128418e-01
8.092436974789915527e-02,2.050420168067227100e-01,6.229478716850280762e-01
8.168067226890755872e-02,2.050420168067227100e-01,6.253625154495239258e-01
8.243697478991596217e-02,2.050420168067227100e-01,6.256300806999206543e-01
8.319327731092436562e-02,2.050420168067227100e-01,6.260313391685485840e-01
8.394957983193276907e-02,2.050420168067227100e-01,6.261420249938964844e-01
8.470588235294117252e-02,2.050420168067227100e-01,6.261880397796630859e-01
8.546218487394957597e-02,2.050420168067227100e-01,6.264241337776184082e-01
8.621848739495797942e-02,2.050420168067227100e-01,6.269809007644653320e-01
8.697478991596638287e-02,2.050420168067227100e-01,6.279286742210388184e-01
8.773109243697478632e-02,2.050420168067227100e-01,6.289272904396057129e-01
8.848739495798318977e-02,2.050420168067227100e-01,6.300985813140869141e-01
8.924369747899159322e-02,2.050420168067227100e-01,6.312194466590881348e-01
8.999999999999999667e-02,2.050420168067227100e-01,6.324231624603271484e-01
0.000000000000000000e+00,2.075630252100840456e-01,2.636546641588211060e-02
7.563025210084033416e-04,2.075630252100840456e-01,4.187371581792831421e-02
1.512605042016806683e-03,2.075630252100840456e-01,5.724783614277839661e-02
2.268907563025209916e-03,2.075630252100840456e-01,7.230158895254135132e-02
3.025210084033613366e-03,2.075630252100840456e-01,8.680962771177291870e-02
3.781512605042016816e-03,2.075630252100840456e-01,1.013792753219604492e-01
4.537815126050419832e-03,2.075630252100840456e-01,1.150533109903335571e-01
5.294117647058823282e-03,2.075630252100840456e-01,1.281722933053970337e-01
6.050420168067226732e-03,2.075630252100840456e-01,1.409059613943099976e-01
6.806722689075630182e-03,2.075630252100840456e-01,1.533308923244476318e-01
7.563025210084033632e-03,2.075630252100840456e-01,1.654295176267623901e-01
8.319327731092436215e-03,2.075630252100840456e-01,1.775392591953277588e-01
9.075630252100839665e-03,2.075630252100840456e-01,1.897398382425308228e-01
9.831932773109243115e-03,2.075630252100840456e-01,2.018849551677703857e-01
1.058823529411764656e-02,2.075630252100840456e-01,2.139648348093032837e-01
1.134453781512605001e-02,2.075630252100840456e-01,2.261595875024795532e-01
1.210084033613445346e-02,2.075630252100840456e-01,2.381105870008468628e-01
1.285714285714285691e-02,2.075630252100840456e-01,2.500752210617065430e-01
1.361344537815126036e-02,2.075630252100840456e-01,2.625850737094879150e-01
1.436974789915966381e-02,2.075630252100840456e-01,2.750073671340942383e-01
1.512605042016806726e-02,2.075630252100840456e-01,2.871524691581726074e-01
1.588235294117646898e-02,2.075630252100840456e-01,2.985523939132690430e-01
1.663865546218487243e-02,2.075630252100840456e-01,3.107523620128631592e-01
1.739495798319327588e-02,2.075630252100840456e-01,3.228088617324829102e-01
1.815126050420167933e-02,2.075630252100840456e-01,3.348538577556610107e-01
1.890756302521008278e-02,2.075630252100840456e-01,3.466408848762512207e-01
1.966386554621848623e-02,2.075630252100840456e-01,3.578455448150634766e-01
